year	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
1979	1.86	1.72	1.7	2.22	1.61	1.37	1.25	0.63	1.26	1.6	1.21	1.06
1980	0.97	0.89	0.88	0.6	0.92	1.51	1.82	1.88	2.34	2.04	2.07	1.89
1981	1.73	1.62	1.68	4.22	3.43	3.23	2.85	2.04	2.56	2.14	2.14	2.55
1982	2.35	2.17	1.98	2.98	-0.13	-0.36	-0.45	-0.43	-0.57	-0.7	-0.76	-0.76
1983	-0.77	-0.76	-0.69	-1.13	-1.03	-1.28	-1.34	-1.19	-0.93	-0.79	-0.78	-0.76
1984	-0.75	-0.73	-0.69	-1.09	-0.82	-0.88	-0.9	-0.97	-1.09	-1.57	-1.67	-1.67
1985	-1.65	-1.63	-1.61	-1.19	-1.23	-1.21	-1.32	-1.14	-1.47	-1.5	-1.58	-1.59
1986	-1.57	-1.55	-1.55	-3.88	-3.9	-3.76	-3.69	-3.69	-3.79	-3.91	0.09	-0.03
1987	-0.04	0.04	0.08	2.05	1.62	1.6	1.92	1.2	0.77	0.75	0.64	0.53
1988	0.47	0.43	0.41	1.74	1.48	1.78	1.92	2.22	1.82	2.07	2.11	-0.02
1989	-0.01	-0.01	-0.03	-0.26	-0.28	-0.44	-0.4	-0.47	-0.52	-0.54	0.37	0.29
1990	0.28	0.24	0.3	1.14	0.79	1.61	0.58	0.36	0.69	0.79	1.03	0.86
1991	0.77	0.7	0.66	0.68	0.75	0.82	-0.2	-0.35	-0.4	-0.37	-0.46	-0.47
1992	-0.45	-0.44	0.12	2.35	0	-0.15	-0.53	-0.77	0.44	1.06	-0.1	-0.13
1993	-0.13	-0.11	-0.11	-0.09	-0.08	-0.13	-0.24	-0.5	-0.68	-0.89	-0.96	-0.97
1994	0	-0.01	-0.02	0.54	0.62	1.48	1.64	2.27	2.9	-0.18	-0.21	-0.22
1995	-0.22	-0.2	-0.19	-0.47	-0.46	-0.51	-0.61	1.01	-0.06	-0.17	0.28	0.19
1996	0.16	0.13	0.16	1.16	0.92	1.11	-0.1	-0.01	-0.19	-0.14	-0.13	-0.15
1997	-0.15	-0.15	-0.16	-0.88	0.7	0.84	1.5	-0.23	-0.08	-0.11	-0.17	-0.19
1998	-0.19	-0.18	-0.17	-0.18	0.69	-0.07	0.13	0.27	1.51	-0.12	-0.04	-0.07
1999	-0.07	-0.07	-0.08	-0.49	-0.33	-0.47	-0.39	-0.46	-0.64	0.38	-0.28	1.01
2000	0.92	0.86	0.88	2.32	2.1	2.1	2.49	2.98	2.71	2.35	1.85	1.64
2001	1.51	1.41	1.38	1.9	1.4	1.48	1.82	2.01	2.48	2.34	2.55	2.29
2002	2.11	1.95	1.86	3.4	2.97	3.52	4.22	4.33	4.09	2.9	2.61	2.35
2003	2.17	2.03	2.06	3.33	2.84	1.97	3.33	3.84	3.16	3.8	-0.03	-0.05
2004	-0.06	-0.05	-0.07	-1.1	-1.14	-1.3	-1.53	-1.71	-1.6	-1.6	-1.61	-1.61
2005	-1.59	-1.57	-1.54	-1.62	0.62	0.45	1.35	0.99	1.66	1.43	1.72	1.51
2006	1.38	1.27	1.26	2.95	2.72	3.12	0	-0.18	-0.49	-0.68	0.23	-0.01
2007	-0.01	-0.01	-0.03	-0.06	0.5	0.45	0.8	1.24	1.39	1.62	1.84	1.65
2008	1.51	1.41	1.3	1.14	1.37	1.29	2.01	-0.25	-0.45	-0.5	0.34	-0.03
2009	-0.04	-0.04	-0.04	-0.1	0.58	-0.23	-0.44	-0.58	-0.7	-1.24	-1.31	-1.32
2010	-1.31	0	0.04	0.65	-0.17	-0.18	-0.23	0.34	1.39	1.69	1.67	1.5
2011	1.39	1.29	1.15	1.52	0.82	0.86	1.36	2.49	-0.07	-0.11	-0.05	-0.08
2012	-0.08	-0.04	-0.08	-2.17	-2.15	-1.78	-1.48	-1.23	-1.11	-1.34	-1.19	-1.18
2013	-1.17	-1.14	-1.1	-1.41	-1.18	-1	-1.14	-1.08	-1.07	-1.43	-1.38	-1.39
2014	-1.37	-1.36	-1.34	-1.26	-1.37	-1.47	-1.65	-1.94	-1.93	-1.88	-1.9	-1.9
